Name, Org Name, Total Networks Searched, Total Devices Searched, Time Frame, License Plate, Reason, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:50:10 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:51:43 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:52:48 PM UTC",lookup,,
Danielle Abbott,Champaign IL PD,3,81,"09/01/2025, 06:00:27 PM UTC
09/01/2025, 08:00:27 PM UTC",DS93663,c25-30595,,,"09/01/2025, 07:52:57 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:54:08 PM UTC",lookup,,
Danielle Abbott,Champaign IL PD,3,81,"09/01/2025, 06:00:27 PM UTC
09/01/2025, 08:00:27 PM UTC",DS93663,c25-30595,,,"09/01/2025, 07:54:29 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:56:09 PM UTC",lookup,,
Danielle Abbott,Champaign IL PD,3,81,"09/01/2025, 06:00:27 PM UTC
09/01/2025, 08:00:27 PM UTC",DS93663,c25-30595,,,"09/01/2025, 07:56:09 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:56:54 PM UTC",lookup,,
Danielle Abbott,Champaign IL PD,3,81,"08/31/2025, 08:00:23 PM UTC
09/01/2025, 08:00:23 PM UTC",DS93663,c25-30595,,,"09/01/2025, 07:57:25 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:59:03 PM UTC",lookup,,
Danielle Abbott,Champaign IL PD,3,81,"08/31/2025, 08:00:23 PM UTC
09/01/2025, 08:00:23 PM UTC",DS93663,c25-30595,,,"09/01/2025, 07:59:30 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 07:59:38 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/18/2025, 08:00:48 PM UTC
09/01/2025, 08:00:48 PM UTC",DS93663,shoplifter,,,"09/01/2025, 08:00:30 PM UTC",lookup,,
Paulo Alfonso,Champaign IL PD,1457,20917,"08/31/2025, 08:03:48 PM UTC
09/01/2025, 08:03:48 PM UTC",P168891,C25-30594,,illinois,"09/01/2025, 08:03:49 PM UTC",lookup,,
Paulo Alfonso,Champaign IL PD,1457,20917,"08/31/2025, 08:04:32 PM UTC
09/01/2025, 08:04:32 PM UTC",P168891,C25-30594,,illinois,"09/01/2025, 08:04:32 PM UTC",lookup,,
Paulo Alfonso,Champaign IL PD,1457,20917,"08/25/2025, 08:05:51 PM UTC
09/01/2025, 08:05:51 PM UTC",P168891,C25-30594,,illinois,"09/01/2025, 08:05:52 PM UTC",lookup,,
Paulo Alfonso,Champaign IL PD,1457,20917,"08/25/2025, 08:07:07 PM UTC
09/01/2025, 08:07:07 PM UTC",P168891,C25-30594,,illinois,"09/01/2025, 08:07:08 PM UTC",lookup,,
Paulo Alfonso,Champaign IL PD,1457,20917,"08/25/2025, 08:08:06 PM UTC
09/01/2025, 08:08:06 PM UTC",P168891,C25-30594,,illinois,"09/01/2025, 08:08:08 PM UTC",lookup,,
Jeffrey Lee,Champaign IL PD,3,81,"08/26/2025, 08:00:00 AM UTC
09/01/2025, 09:00:33 PM UTC",EY57600,C25-29891,,,"09/01/2025, 08:30:43 PM UTC",lookup,,
Tim Frye,Champaign IL PD,1457,20917,"09/01/2025, 06:30:00 AM UTC
09/01/2025, 07:30:00 AM UTC",,C25-30582,,Coupeblack,"09/01/2025, 08:32:23 PM UTC",search,,
Tim Frye,Champaign IL PD,1457,20917,"09/01/2025, 06:30:00 AM UTC
09/01/2025, 07:30:00 AM UTC",,C25-30582,,,"09/01/2025, 08:32:38 PM UTC",search,,
Tim Frye,Champaign IL PD,1457,20917,"09/01/2025, 06:30:00 AM UTC
09/01/2025, 07:30:00 AM UTC",,C25-30582,,,"09/01/2025, 08:32:48 PM UTC",search,,
Tim Frye,Champaign IL PD,1,1,"09/01/2025, 06:30:00 AM UTC
09/01/2025, 07:30:00 AM UTC",,C25-30582,,,"09/01/2025, 08:33:02 PM UTC",search,,
Tim Frye,Champaign IL PD,1457,20917,"09/01/2025, 06:30:00 AM UTC
09/01/2025, 07:30:00 AM UTC",,C25-30582,,,"09/01/2025, 08:33:51 PM UTC",search,,
Tim Frye,Champaign IL PD,1457,20917,"09/01/2025, 06:30:00 AM UTC
09/01/2025, 07:30:00 AM UTC",,C25-30582,,,"09/01/2025, 08:34:26 PM UTC",search,,
Tim Frye,Champaign IL PD,1457,20917,"09/01/2025, 06:30:00 AM UTC
09/01/2025, 07:30:00 AM UTC",,C25-30582,,,"09/01/2025, 08:34:42 PM UTC",search,,
Tim Frye,Champaign IL PD,1457,20917,"09/01/2025, 06:30:00 AM UTC
09/01/2025, 07:30:00 AM UTC",,C25-30582,,,"09/01/2025, 08:35:21 PM UTC",search,,
Christian Borth,Champaign IL PD,3,81,"09/03/2025, 12:30:07 PM UTC
09/03/2025, 02:30:07 PM UTC",3150BU,theft,i25-13306,,"09/03/2025, 02:11:46 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/27/2025, 02:30:53 PM UTC
09/03/2025, 02:30:53 PM UTC",3150BU,theft,i25-13306,,"09/03/2025, 02:11:55 PM UTC",lookup,,
Mason Voges,Champaign IL PD,3,81,"09/03/2025, 12:30:03 PM UTC
09/03/2025, 02:30:03 PM UTC",3150BU,theft,,,"09/03/2025, 02:12:25 PM UTC",lookup,,
Mason Voges,Champaign IL PD,3,81,"09/03/2025, 12:30:03 PM UTC
09/03/2025, 02:30:03 PM UTC",3150,theft,,,"09/03/2025, 02:12:53 PM UTC",lookup,,
Mason Voges,Champaign IL PD,3,81,"08/04/2025, 02:30:23 PM UTC
09/03/2025, 02:30:23 PM UTC",3150BU,theft,,,"09/03/2025, 02:13:27 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/27/2025, 02:30:53 PM UTC
09/03/2025, 02:30:53 PM UTC",3150BU,theft,i25-13306,,"09/03/2025, 02:24:04 PM UTC",lookup,,
Christian Borth,Champaign IL PD,3,81,"08/27/2025, 02:30:53 PM UTC
09/03/2025, 02:30:53 PM UTC",DU41122,theft,i25-13306,,"09/03/2025, 02:25:34 PM UTC",lookup,,
Mason Voges,Champaign IL PD,3,81,"09/01/2025, 04:00:27 PM UTC
09/01/2025, 06:00:27 PM UTC",289537,theft,,,"09/01/2025, 05:39:59 PM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20913,"08/26/2025, 05:00:00 PM UTC
08/27/2025, 12:00:00 PM UTC",fc90261,C25-29891,,,"09/01/2025, 11:20:37 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,1,4,"08/27/2025, 02:00:00 AM UTC
08/27/2025, 02:30:00 AM UTC",,C25-29891,,Chevroletwhite,"09/01/2025, 11:32:36 AM UTC",search,,
Lauren Hill,Champaign IL PD,1,4,"08/27/2025, 02:00:00 AM UTC
08/27/2025, 02:30:00 AM UTC",,C25-29891,,Chevroletwhite,"09/01/2025, 11:33:17 AM UTC",search,,
Lauren Hill,Champaign IL PD,3,81,"08/27/2025, 02:00:00 AM UTC
08/27/2025, 02:15:00 AM UTC",,C25-29891,,,"09/01/2025, 11:40:39 AM UTC",search,,
Lauren Hill,Champaign IL PD,3,81,"08/27/2025, 02:00:00 AM UTC
08/27/2025, 02:15:00 AM UTC",,C25-29891,,,"09/01/2025, 11:40:47 AM UTC",search,,
Lauren Hill,Champaign IL PD,3,81,"08/27/2025, 02:00:00 AM UTC
08/27/2025, 02:15:00 AM UTC",,C25-29891,,,"09/01/2025, 11:40:54 AM UTC",search,,
Lauren Hill,Champaign IL PD,1,3,"08/27/2025, 02:00:00 AM UTC
08/27/2025, 02:15:00 AM UTC",,C25-29891,,,"09/01/2025, 11:41:38 AM UTC",search,,
Lauren Hill,Champaign IL PD,1,3,"08/27/2025, 02:05:00 AM UTC
08/27/2025, 02:10:00 AM UTC",,C25-29891,,,"09/01/2025, 11:42:00 AM UTC",search,,
Lauren Hill,Champaign IL PD,1415,20913,"08/27/2025, 12:00:00 AM UTC
08/27/2025, 12:00:57 PM UTC",fj98427,C25-29891,,,"09/01/2025, 11:44:15 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20913,"08/26/2025, 10:00:00 PM UTC
08/27/2025, 12:00:57 PM UTC",fj98427,C25-29891,,,"09/01/2025, 11:44:38 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20913,"08/26/2025, 05:00:00 PM UTC
08/27/2025, 12:00:57 PM UTC",fj98427,C25-29891,,,"09/01/2025, 11:44:46 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20913,"08/26/2025, 05:00:00 PM UTC
08/27/2025, 12:00:00 PM UTC",ey57600,C25-29891,,,"09/01/2025, 11:45:54 AM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20915,"07/28/2025, 01:00:09 PM UTC
09/01/2025, 03:00:09 PM UTC",CY34531,C25-29,,,"09/01/2025, 02:33:35 PM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20915,"07/28/2025, 01:00:09 PM UTC
09/01/2025, 03:00:09 PM UTC",barb20,C25-29891,,,"09/01/2025, 02:34:29 PM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20915,"08/26/2025, 01:00:09 PM UTC
08/27/2025, 03:00:00 AM UTC",barb20,C25-29891,,,"09/01/2025, 02:34:44 PM UTC",lookup,,
Lauren Hill,Champaign IL PD,1,3,"08/26/2025, 10:51:00 PM UTC
08/26/2025, 11:30:00 PM UTC",,C25-29891,,,"09/01/2025, 02:37:43 PM UTC",search,,
Corey Phenicie,Champaign IL PD,3,81,"08/28/2025, 10:00:00 PM UTC
08/28/2025, 11:30:00 PM UTC",,Homicide,C25-29891,illinois,"09/01/2025, 02:39:31 PM UTC",search,,
Lauren Hill,Champaign IL PD,1,3,"08/26/2025, 10:51:00 PM UTC
08/26/2025, 11:30:00 PM UTC",,C25-29891,,,"09/01/2025, 02:39:45 PM UTC",search,,
