Name, Org Name, Total Networks Searched, Total Devices Searched, Time Frame, License Plate, Reason, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
Lance Carpenter,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF55315,C25-26264,,,"08/01/2025, 01:59:47 PM UTC",lookup,,
Lance Carpenter,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FF55315,C25-26264,,,"08/01/2025, 02:05:46 PM UTC",lookup,,
Adam Walton,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-26552,,,"08/01/2025, 07:35:19 PM UTC",search,,
Christopher Aikman,Champaign IL PD,1463,20582,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",lhm9710,theft suspect,,,"08/01/2025, 05:31:27 PM UTC",lookup,,
Adam Walton,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-26552,,,"08/01/2025, 05:40:54 PM UTC",search,,
Christian Borth,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",FC40938,hit and run,c25-26101,,"08/01/2025, 08:06:57 PM UTC",lookup,,
Amanda Reifsteck,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,Battery,C25-26619,SUVJeepred,"08/02/2025, 12:56:45 AM UTC",search,,
Arthur Miller,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EN38577,C25-40000733,,,"08/01/2025, 09:40:00 PM UTC",lookup,,
Arthur Miller,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EN38577,C25-40000733,,,"08/01/2025, 09:47:24 PM UTC",lookup,,
Adam Walton,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-26552,,,"08/01/2025, 09:53:15 PM UTC",search,,
Arthur Miller,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EN38577,C25-40000733,,,"08/01/2025, 10:07:01 PM UTC",lookup,,
Adam Walton,Champaign IL PD,3,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",,C25-26552,,,"08/01/2025, 06:02:28 PM UTC",search,,
Maxwell Villanti,Champaign IL PD,1418,20573,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",ec12351,hit and run,,,"08/01/2025, 05:00:17 AM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20573,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",ec12351,hit and run,,,"08/01/2025, 05:00:32 AM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20573,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",ec12351,hit and run,,,"08/01/2025, 05:00:41 AM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20573,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",ec12351,c25-11377,,,"08/01/2025, 05:00:57 AM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20573,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",ec12351,c25-11377,,,"08/01/2025, 05:01:18 AM UTC",lookup,,
Payton Adams,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EC12351,hit and run,,,"08/01/2025, 05:01:38 AM UTC",lookup,,
Payton Adams,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EC12351,hit and run,,,"08/01/2025, 05:02:06 AM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20573,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",ec12351,c25-11377,,,"08/01/2025, 05:02:13 AM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20573,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",ec12351,c25-11377,,,"08/01/2025, 05:02:40 AM UTC",lookup,,
Payton Adams,Champaign IL PD,4,81,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",EC12351,hit and run,,,"08/01/2025, 05:02:51 AM UTC",lookup,,
Maxwell Villanti,Champaign IL PD,1418,20573,"08/05/2025, 01:40:00 PM UTC
08/05/2025, 01:50:00 PM UTC",ec12351,c25-11377,,,"08/01/2025, 05:03:05 AM UTC",lookup,,
