ID, Name, Org Name, Total Networks Searched, Time Frame, License Plate, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
49917798-3b24-4eb5-8f4c-e9fc95aacee5,***,[Federal] US Postal Inspection Service,2094,"04/29/2024, 06:50:00 AM UTC
04/29/2024, 07:45:00 AM UTC",,,***,"04/29/2024, 08:40:02 PM UTC",search,,
8ca0192c-b4f1-4573-a902-d55dbe449cd6,***,[Federal] US Postal Inspection Service,2094,"04/29/2024, 06:50:00 AM UTC
04/29/2024, 07:45:00 AM UTC",,,,"04/29/2024, 08:40:34 PM UTC",search,,
20c66621-3e28-4cef-8069-71730b97e029,***,Elk Grove IL PD,411,"04/15/2024, 08:41:26 PM UTC
04/29/2024, 08:41:26 PM UTC",***,,***,"04/29/2024, 08:41:27 PM UTC",lookup,,
a37420a6-6bc8-44a3-92ef-546d26774fde,***,LeRoy IL PD,471,"04/28/2024, 08:43:40 PM UTC
04/29/2024, 08:43:40 PM UTC",***,,***,"04/29/2024, 08:43:49 PM UTC",lookup - Mobile,,
f188eb4a-1df5-4bf9-86e2-655467c1fbac,***,Springfield IL PD,104,"03/31/2024, 04:19:04 PM UTC
04/30/2024, 04:19:04 PM UTC",***,,,"04/30/2024, 04:19:05 PM UTC",lookup,,
fe95bfbf-8140-4bc0-9d1d-4f5384684021,***,Springfield IL PD,104,"04/30/2024, 04:30:31 AM UTC
04/30/2024, 04:30:31 PM UTC",***,,,"04/30/2024, 04:20:32 PM UTC",search,,
20367946-c9d4-41b8-9ad9-74b1710f66a8,***,Des Plaines IL PD,307,"04/02/2024, 02:30:47 PM UTC
04/30/2024, 04:30:47 PM UTC",***,,,"04/30/2024, 04:20:50 PM UTC",search,,
011849c8-4093-40a2-bf7d-e8e5257ef6b6,***,Springfield IL PD,104,"03/31/2024, 04:21:29 PM UTC
04/30/2024, 04:21:29 PM UTC",***,,***,"04/30/2024, 04:21:32 PM UTC",lookup,,
57741a3c-3981-4ef4-90a1-568b86caa2d3,***,Springfield IL PD,104,"03/31/2024, 04:23:45 PM UTC
04/30/2024, 04:23:45 PM UTC",***,,,"04/30/2024, 04:23:46 PM UTC",lookup,,
70637fa0-ac0a-4e7e-a7f4-ca94e5a25004,***,Springfield IL PD,104,"03/31/2024, 04:24:11 PM UTC
04/30/2024, 04:24:11 PM UTC",***,,,"04/30/2024, 04:24:12 PM UTC",lookup,,
80594490-9f19-49cb-8cdf-546240b775e9,***,Decatur IL PD,619,"04/28/2024, 04:30:57 PM UTC
04/30/2024, 04:30:57 PM UTC",***,,,"04/30/2024, 04:24:58 PM UTC",search,,
db2ca45c-0221-4d08-b722-7cd15104aec5,***,Springfield IL PD,510,"03/31/2024, 04:25:17 PM UTC
04/30/2024, 04:25:17 PM UTC",***,,***,"04/30/2024, 04:25:19 PM UTC",lookup,,
2a61d563-fea7-43ac-8c7c-d2d1e17da08a,***,Springfield IL PD,104,"04/30/2024, 04:30:18 AM UTC
04/30/2024, 04:30:18 PM UTC",***,,,"04/30/2024, 04:25:20 PM UTC",search,,
a573999a-53c3-4013-b749-266b9ee984ad,***,Springfield IL PD,104,"03/31/2024, 04:25:28 PM UTC
04/30/2024, 04:25:28 PM UTC",***,,,"04/30/2024, 04:25:29 PM UTC",lookup,,
3cf4fabc-7f7c-4602-a6ea-d6a13ae9031d,***,Springfield IL PD,104,"03/31/2024, 04:27:45 PM UTC
04/30/2024, 04:27:45 PM UTC",***,,,"04/30/2024, 04:27:47 PM UTC",lookup,,
2f9b56bc-fcff-4ccf-9b69-5712bbdd45f4,***,Springfield IL PD,104,"04/30/2024, 02:30:16 PM UTC
04/30/2024, 04:30:16 PM UTC",***,,,"04/30/2024, 04:27:48 PM UTC",search,,
298f554a-d883-47fa-b707-03df008b2a40,***,Springfield IL PD,104,"04/30/2024, 02:30:50 PM UTC
04/30/2024, 04:30:50 PM UTC",,,***,"04/30/2024, 04:28:39 PM UTC",search,,
275220d4-1226-43d3-ad54-3233a1145e8c,***,Springfield IL PD,104,"04/30/2024, 04:30:12 AM UTC
04/30/2024, 04:30:12 PM UTC",***,,,"04/30/2024, 04:29:18 PM UTC",search,,
c5f5fab9-a2dc-497f-bd0d-1cadc1324390,***,Springfield IL PD,104,"04/28/2024, 04:30:22 PM UTC
04/30/2024, 04:30:22 PM UTC",***,,,"04/30/2024, 04:29:24 PM UTC",search,,
8600da6b-7a46-436a-89ad-75e8ed05afae,***,Springfield IL PD,104,"02/01/2024, 05:30:32 PM UTC
04/30/2024, 04:30:32 PM UTC",***,,,"04/30/2024, 04:29:39 PM UTC",search,,
8b425cc8-5838-4d0a-a40d-7148511a464f,***,Springfield IL PD,104,"04/30/2024, 05:00:17 AM UTC
04/30/2024, 05:00:17 PM UTC",***,,,"04/30/2024, 04:31:21 PM UTC",search,,
c6b21177-c9a3-4f44-8017-03601dee65a8,***,Springfield IL PD,104,"03/31/2024, 04:31:42 PM UTC
04/30/2024, 04:31:42 PM UTC",***,,,"04/30/2024, 04:31:42 PM UTC",lookup,,
f94ffcbb-b440-458b-9d70-e5207ea2f41a,***,LeRoy IL PD,89,"04/29/2024, 05:00:42 AM UTC
04/30/2024, 05:00:42 PM UTC",***,,,"04/30/2024, 04:31:55 PM UTC",search,,
e9657270-5694-4ca8-a205-6843cc3c3cd0,***,Springfield IL PD,104,"03/31/2024, 04:32:10 PM UTC
04/30/2024, 04:32:10 PM UTC",***,,,"04/30/2024, 04:32:11 PM UTC",lookup,,
87e7ffee-2ad9-49a0-8a49-c704b277d7e3,***,Springfield IL PD,104,"03/31/2024, 04:32:18 PM UTC
04/30/2024, 04:32:18 PM UTC",***,,,"04/30/2024, 04:32:19 PM UTC",lookup,,
c92d2611-a080-4038-8e73-03706d7eafbd,***,Springfield IL PD,104,"03/31/2024, 04:32:31 PM UTC
04/30/2024, 04:32:31 PM UTC",***,,,"04/30/2024, 04:32:32 PM UTC",lookup,,
0dbc30ca-1592-4f4d-9c5a-de122c36eac7,***,Springfield IL PD,104,"03/31/2024, 04:34:33 PM UTC
04/30/2024, 04:34:33 PM UTC",***,,,"04/30/2024, 04:34:34 PM UTC",lookup,,
9739e7c9-407f-48cc-8705-f334ebec73d6,***,Springfield IL PD,104,"03/31/2024, 04:37:55 PM UTC
04/30/2024, 04:37:55 PM UTC",***,,,"04/30/2024, 04:37:57 PM UTC",lookup,,
b3eb50ab-fd6a-4b6c-8cb7-9a3b73ddb1cd,***,Springfield IL PD,104,"03/31/2024, 04:41:57 PM UTC
04/30/2024, 04:41:57 PM UTC",***,,,"04/30/2024, 04:41:58 PM UTC",lookup,,
99c294be-5fd9-47d6-bfcb-1ec68fb97161,***,Bradley IL PD,222,"04/29/2024, 05:00:58 AM UTC
04/30/2024, 05:00:58 PM UTC",***,,,"04/30/2024, 04:44:00 PM UTC",search,,
a082a80c-340a-46e7-a816-8911a7b3f6fb,***,Decatur IL PD,619,"04/28/2024, 05:00:56 PM UTC
04/30/2024, 05:00:56 PM UTC",***,,,"04/30/2024, 04:46:57 PM UTC",search,,
2c045fbc-79df-45d1-a1c1-b4ab648a7579,***,Decatur IL PD,619,"04/01/2024, 05:00:56 PM UTC
04/30/2024, 05:00:56 PM UTC",***,,,"04/30/2024, 04:47:02 PM UTC",search,,
0df1e28f-ac71-4991-aeb0-7e97530ce178,***,Springfield IL PD,104,"03/31/2024, 04:47:42 PM UTC
04/30/2024, 04:47:42 PM UTC",***,,,"04/30/2024, 04:47:43 PM UTC",lookup,,
fae4c8fb-e1cf-4377-894c-e914cdf59008,***,Springfield IL PD,104,"03/30/2024, 03:00:00 PM UTC
04/30/2024, 05:00:30 PM UTC",***,,,"04/30/2024, 04:47:52 PM UTC",search,,
2ceadf08-d9db-45ec-b8a6-80cb6e832ac6,***,Springfield IL PD,104,"03/31/2024, 04:47:50 PM UTC
04/30/2024, 04:47:50 PM UTC",***,,,"04/30/2024, 04:47:52 PM UTC",lookup,,
2d318f71-1470-427e-8a0d-237dca1880b2,***,[Federal] US Postal Inspection Service,2027,"04/01/2024, 02:30:52 PM UTC
04/29/2024, 04:30:52 PM UTC",,,,"04/30/2024, 02:20:47 PM UTC",search,,
1c068e5f-adab-4aa6-bb16-6ad9dc4b4303,***,[Federal] US Postal Inspection Service,2027,"04/01/2024, 02:30:52 PM UTC
04/29/2024, 04:30:52 PM UTC",,,,"04/30/2024, 02:22:02 PM UTC",search,,
f4f50322-be6c-4e1f-a0b8-8c9c3b82d659,***,Chesterfield County VA PD,890,"04/30/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:22:49 PM UTC",search,,
7d38ebc3-5ba0-4cdf-9eef-b65d66644bbb,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:23:00 PM UTC",search,,
daf682f7-7ab8-47cc-a9bc-ec5f91929ec2,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:24:11 PM UTC",search,,
afd35a67-681a-4d90-a99b-297de3ddd8dc,***,[Federal] US Postal Inspection Service,2094,"04/15/2024, 10:30:00 PM UTC
04/15/2024, 11:30:00 PM UTC",,,***,"04/30/2024, 02:24:21 PM UTC",search,,
6b37d895-20aa-4a7f-812a-db20de3a6e8f,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:24:59 PM UTC",search,,
b5d01f2d-e405-4f58-af02-f992e5c29f82,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:26:47 PM UTC",search,,
42271c95-cabe-4817-abfa-4f844399857f,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:27:19 PM UTC",search,,
941ed178-9936-4e47-bd96-048581a5f858,***,Danville IL PD,168,"04/30/2024, 02:30:37 AM UTC
04/30/2024, 02:30:37 PM UTC",***,,,"04/30/2024, 02:27:46 PM UTC",search,,
b28da3ea-9613-4fef-8f3d-10086d75484c,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:28:27 PM UTC",search,,
8aacf498-526f-4833-9716-f787badc906a,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:29:08 PM UTC",search,,
9c381f11-41db-48af-ac17-07e61e34b1af,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:29:48 PM UTC",search,,
68dbab58-f9bd-49ea-8026-0a04ff4028cd,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:30:30 PM UTC",search,,
8365e88a-3151-4fc4-986e-07a9742d79c4,***,Chesterfield County VA PD,890,"04/01/2024, 12:30:39 PM UTC
04/30/2024, 02:30:39 PM UTC",***,,,"04/30/2024, 02:31:22 PM UTC",search,,
37fdff57-518f-4085-a162-8e06167cfff9,***,Chesterfield County VA PD,890,"04/30/2024, 01:00:08 PM UTC
04/30/2024, 03:00:08 PM UTC",***,,,"04/30/2024, 02:33:41 PM UTC",search,,
